area,bedrooms,bathrooms,age,parking,location_score,distance_center,price
1003.0,1,1,24.0,1,4.7,35.8,407215.0
5929.0,6,4,11.0,1,8.0,39.9,2254608.0
4770.0,6,4,31.0,0,8.0,8.1,1130188.0
1673.0,2,2,54.0,1,5.1,5.7,518345.0
630.0,2,2,48.0,1,3.9,6.6,310870.0
5003.0,6,4,4.0,4,7.6,26.8,1998825.0
4417.0,5,3,42.0,3,8.1,26.8,1701820.0
4537.0,6,4,34.0,2,2.9,34.1,1615763.0
4765.0,6,4,54.0,3,2.9,30.3,1475412.0
1000.0,2,2,7.0,1,6.0,18.5,490421.0
2536.0,3,2,32.0,1,6.9,24.9,846148.0
1226.0,1,1,53.0,3,4.8,27.8,495335.0
5261.0,6,4,25.0,1,7.0,21.0,1596027.0
3966.0,5,4,29.0,4,3.9,19.6,1589481.0
2387.0,3,2,4.0,1,1.0,26.2,798296.0
943.0,1,1,17.0,1,4.6,22.7,389291.0
2279.0,2,2,19.0,1,5.6,26.1,752419.0
2356.0,3,2,57.0,4,4.9,24.9,672393.0
4540.0,6,4,17.0,0,3.0,29.0,1374615.0
4043.0,5,4,28.0,2,1.5,26.1,1267851.0
5391.0,6,4,40.0,1,4.4,21.3,1157814.0
3150.0,5,3,10.0,0,7.5,27.6,1184514.0
1246.0,2,1,29.0,2,8.3,18.5,686436.0
4452.0,6,4,44.0,1,8.1,10.4,1791782.0
4708.0,5,3,52.0,1,3.7,1.1,1441661.0
3631.0,5,3,38.0,0,3.0,22.8,1212931.0
4763.0,6,4,40.0,1,6.6,24.0,1537158.0
3266.0,5,4,8.0,1,6.9,38.9,1286775.0
3423.0,5,4,57.0,1,6.4,15.1,1566222.0
2909.0,5,3,8.0,0,1.1,16.4,1140955.0
737.0,1,1,46.0,4,3.6,8.9,350918.0
1183.0,2,2,16.0,1,5.4,3.8,524630.0
770.0,1,1,56.0,2,6.6,31.1,386091.0
4037.0,5,3,43.0,1,7.2,10.7,1091088.0
2298.0,3,2,45.0,1,5.8,24.7,805208.0
3346.0,4,3,13.0,1,6.2,27.8,1331936.0
5501.0,6,4,27.0,1,5.7,19.4,2092200.0
1946.0,3,2,37.0,1,7.0,35.2,839808.0
2816.0,3,2,46.0,1,6.2,18.3,1048095.0
4680.0,6,5,6.0,1,5.6,12.1,1667472.0
1836.0,3,2,58.0,0,4.9,35.9,688568.0
1016.0,1,1,53.0,1,5.7,34.6,323644.0
2165.0,2,2,16.0,0,6.6,7.4,749398.0
1471.0,2,2,49.0,0,6.1,2.0,625444.0
5620.0,6,4,31.0,3,6.3,4.5,2025968.0
4964.0,6,4,28.0,1,8.5,12.2,1323577.0
4020.0,5,4,19.0,1,6.1,38.9,1531704.0
5306.0,6,4,35.0,1,4.1,22.8,1972493.0
4940.0,6,4,44.0,3,7.4,15.6,1759164.0
1607.0,2,2,25.0,1,2.5,35.7,727340.0
5420.0,6,4,38.0,2,3.1,18.7,1602535.0
3512.0,4,3,42.0,1,6.2,13.3,1194408.0
4960.0,6,4,43.0,4,6.6,37.7,1631784.0
5439.0,6,4,3.0,2,2.8,34.1,1775586.0
2317.0,4,3,52.0,2,4.7,33.9,805705.0
1194.0,1,1,27.0,0,4.2,21.0,340241.0
1831.0,3,2,16.0,0,4.4,31.8,624000.0
2906.0,4,3,15.0,0,7.6,8.0,1147733.0
5017.0,6,4,29.0,0,7.1,23.4,2092421.0
5248.0,6,4,53.0,2,5.5,39.4,2326368.0
638.0,1,1,23.0,0,4.3,12.3,359431.0
3358.0,4,3,45.0,0,2.5,32.0,944408.0
2854.0,3,2,6.0,0,8.6,20.1,1000169.0
1799.0,2,2,29.0,0,6.8,2.6,737304.0
1247.0,1,1,60.0,0,3.9,30.8,483838.0
2423.0,4,3,46.0,2,7.1,7.6,973401.0
5692.0,6,5,13.0,1,5.3,25.6,1570347.0
2345.0,3,2,30.0,0,4.9,4.3,804564.0
3401.0,4,3,14.0,1,6.5,37.9,1368920.0
4396.0,5,3,25.0,1,3.9,12.4,1642433.0
2564.0,3,2,47.0,0,4.7,9.8,868649.0
5848.0,6,4,46.0,1,5.8,6.0,2186658.0
5797.0,6,4,14.0,1,4.4,37.9,1259914.0
1960.0,2,2,55.0,2,7.0,28.8,758146.0
3285.0,4,3,36.0,2,9.6,29.9,1447634.0
2225.0,4,3,23.0,0,3.8,20.5,730785.0
2138.0,2,2,30.0,4,1.8,19.5,627763.0
799.0,1,1,36.0,2,1.1,5.3,195478.0
3892.0,5,4,34.0,3,5.2,22.8,1738644.0
3314.0,4,3,29.0,0,4.0,10.6,1031033.0
878.0,1,1,30.0,3,6.0,39.1,401081.0
2105.0,3,3,11.0,2,5.8,32.1,928408.0
5505.0,6,4,49.0,2,2.0,17.1,2168987.0
1894.0,3,2,33.0,0,1.5,6.9,625994.0
1382.0,2,2,8.0,2,6.2,31.6,564606.0
3243.0,4,3,46.0,4,5.8,5.8,1246461.0
5923.0,6,4,56.0,1,4.6,8.4,2331409.0
1907.0,3,3,57.0,1,1.9,9.2,645426.0
4230.0,5,4,22.0,3,6.5,22.7,1326970.0
4713.0,5,4,8.0,1,8.3,31.7,1318763.0
1883.0,3,2,31.0,1,6.1,13.3,626423.0
4532.0,6,4,7.0,1,3.6,4.3,1811986.0
2586.0,2,2,56.0,3,5.6,19.1,865502.0
4014.0,5,3,11.0,0,2.5,30.2,1196540.0
4021.0,5,4,15.0,1,7.8,9.6,1373484.0
3493.0,4,3,24.0,1,5.7,9.6,1287391.0
1088.0,2,3,23.0,2,1.6,37.9,388944.0
5111.0,6,5,48.0,1,4.8,38.2,1648937.0
2332.0,3,2,27.0,3,6.5,39.6,1059114.0
1607.0,2,2,10.0,3,4.8,32.5,792108.0
820.0,1,1,16.0,0,4.9,8.3,290203.0
3791.0,5,4,31.0,1,2.8,9.3,1381184.0
4259.0,6,4,9.0,0,6.7,14.3,1399220.0
690.0,1,1,37.0,0,4.1,13.4,278921.0
3365.0,4,3,34.0,1,1.0,38.3,1088878.0
1823.0,3,2,43.0,3,4.7,31.8,661604.0
4084.0,5,4,56.0,2,7.7,29.2,1530087.0
1542.0,2,2,55.0,0,4.6,8.3,638444.0
4331.0,6,4,57.0,0,9.3,36.5,1649117.0
2688.0,4,2,15.0,1,6.4,33.3,906955.0
5658.0,6,4,8.0,1,6.2,7.4,1797815.0
1343.0,2,1,18.0,0,5.2,35.0,397363.0
2442.0,3,2,54.0,3,5.3,11.6,781873.0
1213.0,1,1,58.0,3,4.9,4.2,620372.0
5593.0,6,4,52.0,1,4.8,26.6,1622074.0
5338.0,6,4,7.0,3,6.7,26.5,1557029.0
1993.0,2,2,57.0,1,3.4,4.7,719475.0
4164.0,5,3,25.0,2,3.1,13.4,1384721.0
5013.0,6,4,1.0,1,3.0,39.7,1616611.0
3598.0,5,3,27.0,0,10.0,27.5,1691279.0
3460.0,4,3,3.0,3,6.7,29.5,1407148.0
1906.0,2,2,33.0,1,6.2,9.3,700846.0
1103.0,1,1,20.0,2,3.2,4.1,408862.0
5445.0,6,4,28.0,1,6.9,11.8,1768288.0
5462.0,6,4,37.0,0,5.2,10.7,2094563.0
4019.0,5,3,52.0,0,6.0,10.1,1337607.0
2431.0,4,2,40.0,1,3.4,8.5,630748.0
2486.0,3,2,26.0,1,5.9,23.4,911153.0
4520.0,6,5,49.0,0,4.6,13.8,1216197.0
5444.0,6,4,54.0,1,3.8,33.0,2331646.0
5390.0,5,3,7.0,1,7.1,8.2,1611734.0
4811.0,6,4,32.0,1,2.1,19.1,1544815.0
4067.0,5,4,17.0,1,6.7,1.5,1592486.0
1054.0,1,1,3.0,3,7.0,19.8,509173.0
1473.0,2,1,40.0,1,3.6,3.2,515864.0
5452.0,6,4,52.0,1,3.7,39.1,1858240.0
3875.0,5,4,10.0,0,5.0,31.8,1690878.0
650.0,1,2,49.0,0,6.1,20.1,376920.0
1148.0,2,2,51.0,0,5.2,4.4,608081.0
4183.0,6,4,55.0,1,6.5,24.1,1259446.0
627.0,2,2,16.0,0,9.4,30.6,486809.0
1468.0,2,2,54.0,0,4.4,8.4,566971.0
3563.0,4,3,19.0,2,1.7,23.2,1232153.0
4336.0,5,4,33.0,0,7.3,32.8,1857692.0
4121.0,5,4,3.0,0,9.2,31.0,1519936.0
1811.0,2,2,3.0,0,6.4,32.3,680869.0
4446.0,6,4,43.0,2,3.1,35.3,1594461.0
1881.0,2,2,27.0,0,5.2,37.6,493265.0
2357.0,3,2,15.0,1,3.0,16.8,795963.0
4631.0,6,4,11.0,1,6.9,23.2,1650550.0
4108.0,5,4,40.0,1,2.5,31.8,1159063.0
5186.0,6,4,0.0,1,4.8,28.2,2068790.0
4151.0,5,3,48.0,2,3.3,39.8,1122287.0
3669.0,5,3,5.0,0,5.8,1.5,1343270.0
1106.0,1,1,11.0,0,4.7,14.9,470538.0
2586.0,3,2,23.0,0,5.9,12.0,1154716.0
2032.0,2,1,29.0,0,5.5,11.2,736693.0
1918.0,2,1,21.0,0,3.3,9.7,748495.0
5854.0,6,3,19.0,0,6.9,28.7,2174507.0
2723.0,3,2,58.0,1,5.4,4.3,984308.0
5417.0,6,4,38.0,1,3.3,29.9,1471632.0
4008.0,5,3,1.0,1,10.0,28.0,1216551.0
4892.0,5,3,26.0,2,6.5,10.8,1738716.0
3314.0,5,3,53.0,0,5.2,10.9,1084896.0
3715.0,5,4,18.0,0,8.6,25.5,1631082.0
3260.0,3,2,6.0,1,9.6,30.7,1389152.0
1654.0,2,2,46.0,0,5.2,35.2,574512.0
4501.0,5,3,36.0,0,6.3,34.2,1257276.0
2116.0,3,2,34.0,1,3.3,38.6,758290.0
731.0,2,2,3.0,3,5.2,23.7,367643.0
4086.0,4,3,8.0,2,5.1,36.4,1241654.0
1556.0,2,2,37.0,0,5.9,32.5,509814.0
5678.0,6,4,12.0,2,6.2,35.9,1903617.0
5751.0,6,4,30.0,2,6.7,1.5,2373429.0
5540.0,6,4,33.0,1,6.0,38.7,1859030.0
2599.0,3,2,17.0,2,2.8,19.5,831414.0
683.0,1,1,57.0,1,3.4,32.1,170003.0
5613.0,6,4,51.0,0,4.3,6.0,2014725.0
2912.0,4,3,43.0,1,4.9,16.4,927977.0
5820.0,6,4,5.0,1,7.8,11.6,2108026.0
5804.0,6,4,6.0,1,2.9,12.4,1823929.0
5206.0,6,4,30.0,1,4.7,5.8,2018898.0
2190.0,2,1,10.0,4,7.6,32.4,845644.0
2680.0,3,2,59.0,3,4.8,1.4,953283.0
5196.0,6,4,10.0,3,6.5,13.2,2008148.0
2311.0,2,2,29.0,2,5.2,7.8,1136592.0
1515.0,2,2,22.0,3,6.1,24.0,743090.0
3607.0,5,3,38.0,0,5.0,10.9,1257264.0
5655.0,6,4,8.0,0,7.0,11.1,1991148.0
4359.0,6,4,26.0,1,2.1,20.0,1347021.0
3678.0,4,3,16.0,2,4.7,26.5,1101147.0
1125.0,1,1,53.0,1,6.2,5.7,434972.0
3921.0,6,4,2.0,2,6.7,7.8,1351419.0
5946.0,6,4,55.0,0,8.8,10.6,2268942.0
1356.0,2,1,50.0,0,4.6,39.0,376414.0
3399.0,4,2,18.0,2,8.8,16.5,1568387.0
5338.0,6,4,47.0,0,4.1,24.4,1945977.0
4600.0,5,3,2.0,1,8.4,10.4,1707473.0
4364.0,5,3,58.0,0,7.3,20.1,1510515.0
4393.0,5,3,32.0,1,3.5,3.9,1359251.0
2541.0,3,2,18.0,1,6.2,2.4,1029146.0
2185.0,3,2,22.0,1,5.4,19.3,968143.0
4971.0,6,4,4.0,1,6.9,16.5,1610494.0
4975.0,6,4,59.0,0,5.0,6.3,1301477.0
5282.0,6,4,2.0,2,4.8,27.8,2012548.0
5531.0,6,4,39.0,1,8.5,39.7,2011493.0
3361.0,4,3,27.0,1,5.3,16.4,1005102.0
3308.0,5,4,57.0,2,7.3,25.4,1118476.0
4911.0,6,4,15.0,0,5.0,38.6,1452973.0
4110.0,5,4,32.0,3,9.2,33.4,1390336.0
4391.0,6,4,29.0,1,4.0,19.1,1448391.0
4897.0,6,4,42.0,1,4.1,29.8,1566615.0
5406.0,6,4,4.0,0,8.9,6.0,1793208.0
2425.0,3,2,12.0,3,4.5,21.0,800614.0
2628.0,3,2,13.0,2,9.0,11.9,1053601.0
1108.0,2,2,44.0,0,7.5,7.3,567771.0
3723.0,4,3,11.0,0,5.2,17.6,1250340.0
794.0,1,1,34.0,2,1.5,6.1,331077.0
3114.0,4,3,13.0,1,5.5,28.3,1226472.0
3530.0,4,3,52.0,2,5.7,18.8,945788.0
2147.0,3,2,57.0,1,8.1,21.7,917990.0
3790.0,4,3,31.0,2,9.0,6.7,1585996.0
765.0,1,1,21.0,1,4.0,6.5,326371.0
802.0,1,1,14.0,0,7.3,23.8,325230.0
5042.0,6,5,3.0,1,7.2,39.4,1821041.0
2545.0,3,3,16.0,4,7.9,4.8,1094652.0
1286.0,2,2,39.0,0,6.6,12.1,479050.0
3420.0,4,3,32.0,1,1.2,34.9,837060.0
4758.0,6,4,57.0,1,5.2,3.8,1631277.0
1765.0,2,1,24.0,1,3.0,35.2,546696.0
3964.0,5,3,42.0,2,5.1,21.4,1288046.0
1061.0,2,2,29.0,2,7.7,16.9,559860.0
879.0,1,1,31.0,0,6.2,13.1,341593.0
3469.0,5,3,16.0,4,8.0,12.6,1293237.0
3519.0,5,3,27.0,2,6.3,12.9,1421080.0
4042.0,5,3,28.0,2,2.6,35.5,1247659.0
4521.0,6,4,42.0,1,1.0,29.2,1079125.0
5870.0,6,4,56.0,2,5.8,27.1,1811131.0
3388.0,4,3,20.0,0,5.0,32.2,988116.0
2344.0,3,2,3.0,1,3.4,11.0,893028.0
4894.0,6,4,30.0,3,1.8,25.1,1686791.0
2062.0,3,2,33.0,0,3.9,18.9,550919.0
2970.0,4,3,10.0,0,5.1,31.5,1198137.0
1024.0,1,1,46.0,2,7.0,13.1,395226.0
737.0,2,2,59.0,2,5.9,26.1,461056.0
5798.0,6,4,57.0,0,9.0,35.4,1969184.0
5114.0,6,4,12.0,2,3.2,16.7,1412561.0
4358.0,6,5,53.0,1,7.4,3.6,1357422.0
2808.0,3,2,42.0,1,5.6,21.1,1035786.0
1536.0,2,2,27.0,2,7.0,14.5,646918.0
1445.0,1,1,32.0,1,4.5,27.2,495332.0
1951.0,2,2,51.0,0,7.9,38.1,916328.0
3566.0,4,3,29.0,0,6.1,19.9,1135694.0
4459.0,6,4,22.0,1,4.0,19.2,1563005.0
4165.0,6,4,30.0,1,5.5,26.5,1803639.0
2112.0,3,3,35.0,2,5.0,5.0,885008.0
5756.0,6,4,11.0,2,6.6,10.9,1535739.0
4585.0,6,4,54.0,1,2.9,36.8,1596201.0
3594.0,4,2,40.0,2,5.4,27.1,1007180.0
3903.0,4,3,38.0,0,6.4,1.5,1687900.0
2866.0,4,3,6.0,0,5.6,9.0,969405.0
1938.0,3,2,36.0,2,8.5,27.6,1195850.0
2522.0,3,2,7.0,0,7.2,30.8,1175769.0
4692.0,6,4,5.0,0,5.5,33.8,1445300.0
678.0,1,1,32.0,1,6.0,12.4,358559.0
1227.0,2,2,24.0,1,6.2,37.3,590964.0
848.0,1,1,35.0,3,6.4,22.6,462380.0
820.0,1,1,5.0,0,1.5,28.2,282008.0
5219.0,6,4,26.0,0,4.8,24.3,2091918.0
4400.0,5,4,10.0,0,2.2,5.8,1463036.0
3161.0,4,3,59.0,1,8.3,38.6,1093232.0
1128.0,1,1,34.0,1,5.4,5.8,451515.0
3255.0,4,3,41.0,1,5.1,10.9,1314927.0
3157.0,4,2,20.0,3,7.5,32.7,1246264.0
1535.0,2,2,6.0,3,6.4,25.1,717053.0
2943.0,3,3,59.0,0,3.0,33.7,1037670.0
2752.0,3,3,17.0,1,5.3,21.1,706413.0
3926.0,6,4,25.0,1,4.8,15.7,1491054.0
4030.0,5,4,39.0,4,1.7,37.0,1365918.0
845.0,1,1,1.0,4,4.0,2.4,540610.0
2623.0,4,3,49.0,0,5.1,34.4,714431.0
3980.0,5,3,32.0,2,5.2,10.0,1743370.0
3317.0,5,4,17.0,1,2.2,34.1,1151812.0
5225.0,6,4,4.0,0,8.0,6.4,2051174.0
4157.0,5,4,10.0,0,5.3,23.6,1849693.0
1480.0,2,2,54.0,1,5.6,35.6,599048.0
981.0,1,1,41.0,1,6.4,19.5,455255.0
4069.0,5,3,15.0,0,3.8,30.1,1413092.0
743.0,1,1,4.0,1,6.5,32.4,359003.0
3763.0,5,3,41.0,0,4.7,29.7,1266630.0
5677.0,6,4,34.0,1,3.5,37.1,1633285.0
3708.0,6,4,24.0,0,6.8,18.4,1396823.0
2696.0,4,3,22.0,0,8.8,7.8,734826.0
4074.0,5,3,13.0,1,7.1,2.9,1616421.0
3075.0,3,2,40.0,0,7.5,10.6,1103048.0
3546.0,4,3,58.0,1,4.4,6.6,1153188.0
5684.0,6,4,11.0,0,2.0,22.8,1894327.0
2685.0,3,2,36.0,1,8.8,8.2,840236.0
5790.0,6,4,25.0,0,10.0,2.5,2715773.0
5489.0,6,4,27.0,1,8.9,2.4,1968778.0
1657.0,1,2,15.0,2,4.8,33.4,606399.0
975.0,2,2,50.0,0,3.0,24.1,302861.0
1144.0,1,1,29.0,1,3.2,15.0,409566.0
698.0,1,1,33.0,0,1.8,35.9,232248.0
1110.0,2,2,18.0,1,5.3,3.7,624518.0
4288.0,5,3,11.0,0,9.0,39.2,1758807.0
984.0,1,1,5.0,1,5.2,25.0,465230.0
2322.0,3,2,43.0,1,6.2,8.2,840049.0
5162.0,6,4,12.0,3,8.5,27.5,1478763.0
726.0,2,2,41.0,1,4.6,30.8,326753.0
4998.0,6,4,23.0,1,10.0,17.7,1803288.0
2122.0,3,3,25.0,1,9.9,34.6,1086887.0
1238.0,1,1,28.0,4,5.2,6.9,560983.0
4362.0,5,4,22.0,2,4.2,11.9,1901537.0
3996.0,6,4,6.0,0,7.0,4.6,1815858.0
5338.0,6,4,19.0,2,4.7,9.2,1720938.0
4569.0,6,4,40.0,1,3.0,10.3,1130499.0
4939.0,6,4,40.0,2,8.3,36.8,2127131.0
2123.0,3,2,17.0,2,8.2,4.0,1127032.0
1558.0,2,1,28.0,0,5.8,17.7,480028.0
4653.0,6,4,12.0,1,2.7,21.8,1932082.0
4957.0,6,4,13.0,0,2.8,36.0,1719515.0
5949.0,6,4,1.0,0,5.7,39.9,2039753.0
2828.0,3,2,54.0,0,4.4,30.4,1137653.0
2609.0,4,3,13.0,2,4.7,38.9,1162012.0
4793.0,6,4,14.0,0,7.7,31.7,1892543.0
2440.0,3,2,17.0,0,7.1,38.6,977322.0
5626.0,6,4,8.0,2,8.5,28.6,2198772.0
5235.0,6,4,38.0,0,3.3,4.1,1640185.0
2917.0,4,3,5.0,0,4.7,16.7,1073864.0
4655.0,5,4,8.0,0,7.2,26.2,1442295.0
4675.0,6,4,39.0,1,6.5,14.7,1584698.0
1157.0,1,2,20.0,1,8.9,11.7,583707.0
5474.0,6,4,42.0,0,6.4,23.5,1681442.0
3328.0,4,3,33.0,4,9.6,37.4,1330008.0
5063.0,6,4,15.0,2,6.7,2.4,1752974.0
2328.0,2,2,39.0,0,7.8,31.0,933020.0
5436.0,6,4,7.0,0,4.8,29.2,1388853.0
2702.0,4,3,32.0,1,5.5,38.6,965678.0
659.0,1,1,26.0,1,7.5,37.3,362796.0
5489.0,6,4,16.0,0,9.0,30.7,1863281.0
1093.0,2,2,36.0,0,7.1,21.3,509480.0
2324.0,3,2,52.0,2,5.3,9.0,655752.0
5730.0,6,4,60.0,0,8.5,22.3,2075863.0
5733.0,6,4,36.0,1,1.0,30.8,1957334.0
3697.0,5,4,24.0,2,2.4,35.9,1340845.0
4012.0,5,4,14.0,1,7.0,31.8,1705841.0
3022.0,4,2,15.0,1,5.5,8.6,1149768.0
2183.0,3,3,29.0,1,6.8,24.4,946740.0
2375.0,4,3,22.0,0,5.6,14.0,962191.0
4232.0,6,4,55.0,2,6.8,1.4,1728617.0
4663.0,4,3,22.0,1,3.7,8.8,1180865.0
4875.0,6,4,22.0,2,6.8,5.4,1540229.0
4864.0,6,4,23.0,4,7.7,33.9,2189996.0
1093.0,1,1,50.0,3,8.2,11.1,337752.0
3270.0,4,3,39.0,3,9.9,12.1,1296279.0
911.0,2,2,37.0,1,6.0,38.4,493408.0
3567.0,5,4,20.0,1,6.1,15.8,1328371.0
2984.0,3,2,49.0,1,2.1,1.4,904526.0
5394.0,6,4,2.0,1,4.3,12.1,1892154.0
2495.0,3,3,52.0,3,5.1,5.7,898271.0
1232.0,1,2,31.0,0,7.8,5.0,600235.0
1372.0,1,2,24.0,3,4.2,4.0,516857.0
4712.0,6,4,30.0,2,7.3,24.1,1988032.0
3938.0,5,4,40.0,4,5.5,8.4,1763928.0
1146.0,2,1,1.0,3,5.1,15.1,524902.0
1054.0,2,2,52.0,0,6.0,34.6,346990.0
4385.0,6,4,27.0,0,4.6,17.5,1412461.0
993.0,1,2,21.0,0,4.6,36.7,385112.0
5038.0,6,4,8.0,0,1.7,20.4,1776781.0
4414.0,6,4,26.0,1,5.0,16.6,1327858.0
1039.0,2,2,30.0,2,4.4,30.3,392762.0
1058.0,2,1,24.0,3,4.4,3.9,520510.0
5928.0,6,4,41.0,1,6.4,4.5,2318241.0
2621.0,3,2,25.0,0,6.9,26.4,878855.0
2601.0,4,3,58.0,0,6.0,20.0,768981.0
4989.0,6,3,36.0,0,7.7,31.8,2570464.0
5715.0,6,4,48.0,1,6.8,36.7,2141545.0
5924.0,6,5,7.0,1,4.9,16.1,1957430.0
4668.0,5,4,24.0,0,4.5,24.3,1786904.0
2632.0,3,2,20.0,1,6.2,20.5,961020.0
1051.0,1,1,34.0,0,6.8,39.3,477955.0
4797.0,6,4,52.0,1,8.6,33.4,1752629.0
3615.0,4,3,5.0,1,8.1,36.6,1366113.0
2891.0,3,2,4.0,1,4.3,10.9,1017311.0
5494.0,6,4,51.0,1,5.3,31.1,1424515.0
1200.0,2,1,13.0,4,7.0,11.4,782649.0
3260.0,4,3,40.0,0,7.8,9.1,1061994.0
661.0,1,1,33.0,1,7.6,37.8,279229.0
3131.0,4,3,50.0,2,5.4,1.8,1117823.0
904.0,1,1,8.0,1,2.7,38.7,265423.0
1242.0,1,1,8.0,3,3.3,6.8,494564.0
1235.0,1,1,33.0,1,6.1,33.0,526302.0
4106.0,5,4,57.0,1,6.3,11.8,1685668.0
4629.0,6,4,25.0,0,3.1,14.7,1757965.0
3750.0,5,3,20.0,1,5.6,9.5,1303660.0
5796.0,6,4,36.0,0,6.9,23.8,1984070.0
2624.0,2,2,56.0,0,3.0,14.6,876086.0
2143.0,3,2,50.0,1,7.9,26.6,620720.0
5290.0,6,4,60.0,1,4.7,1.6,1941409.0
1807.0,2,2,1.0,0,8.3,3.5,648983.0
5801.0,6,4,7.0,1,4.3,4.9,2583202.0
666.0,2,1,37.0,1,3.2,17.3,263839.0
5837.0,6,4,49.0,0,4.5,32.8,1830176.0
833.0,1,1,17.0,1,5.3,35.6,315756.0
5412.0,6,4,14.0,2,4.6,10.5,1691482.0
3450.0,5,3,47.0,1,5.0,23.4,1618860.0
5962.0,6,4,3.0,1,6.2,31.0,2319953.0
999.0,1,2,22.0,0,5.1,12.3,348276.0
3591.0,4,3,30.0,1,5.4,17.0,1556181.0
5834.0,6,4,34.0,3,1.7,21.4,2207366.0
3425.0,4,2,44.0,1,6.4,6.3,1172748.0
3999.0,5,3,21.0,0,5.3,2.0,1494613.0
4357.0,6,3,37.0,1,9.0,7.0,1631666.0
3055.0,4,3,35.0,3,3.4,25.4,1376898.0
3989.0,6,4,33.0,0,1.5,3.9,1190927.0
3755.0,5,4,38.0,4,6.9,8.4,1475066.0
5466.0,6,4,16.0,4,6.3,14.2,1817986.0
845.0,1,1,5.0,0,3.3,4.0,287133.0
2117.0,2,1,7.0,3,2.1,8.5,967023.0
